#Time Threads
20345.288086 1
12100.891113 2
8268.979980 3
5894.175049 4
4373.657959 5
4508.937988 6
4019.147949 7
3517.466064 8
3076.483887 9
2935.238037 10
3069.202148 11
3110.975098 12
3131.476074 13
3025.759033 14
3016.239014 15
2895.378174 16
2852.558838 17
2847.107910 18
2916.595947 19
2874.591064 20
2956.555908 21
3201.127930 22
3167.516846 23
3250.089844 24
3454.202881 25
3375.926025 26
3406.066895 27
3394.973877 28
3612.666016 29
3524.296875 30
3579.351074 31
3811.458008 32
